Appointment_Month,Product,Actual_RGU,Forecasted_RGU,Adjusted_RGU
2022-01-01,BUSINESS CONNECT,0,0,0
2022-02-01,BUSINESS CONNECT,366,0,0
2022-03-01,BUSINESS CONNECT,334,0,0
2022-04-01,BUSINESS CONNECT,480,0,0
2022-05-01,BUSINESS CONNECT,349,0,0
2022-06-01,BUSINESS CONNECT,426,0,0
2022-07-01,BUSINESS CONNECT,506,0,0
2022-08-01,BUSINESS CONNECT,369,0,0
2022-09-01,BUSINESS CONNECT,419,0,0
2022-10-01,BUSINESS CONNECT,357,0,0
2022-11-01,BUSINESS CONNECT,340,0,0
2022-12-01,BUSINESS CONNECT,441,0,0
2023-01-01,BUSINESS CONNECT,387,0,0
2023-02-01,BUSINESS CONNECT,393,0,0
2023-03-01,BUSINESS CONNECT,364,0,0
2023-04-01,BUSINESS CONNECT,501,0,0
2023-05-01,BUSINESS CONNECT,349,0,0
2023-06-01,BUSINESS CONNECT,402,0,0
2023-07-01,BUSINESS CONNECT,454,0,0
2023-08-01,BUSINESS CONNECT,362,0,0
2023-09-01,BUSINESS CONNECT,380,0,0
2023-10-01,BUSINESS CONNECT,489,0,0
2023-11-01,BUSINESS CONNECT,392,0,0
2023-12-01,BUSINESS CONNECT,443,0,0
2024-01-01,BUSINESS CONNECT,526,0,0
2024-02-01,BUSINESS CONNECT,404,0,0
2024-03-01,BUSINESS CONNECT,360,0,0
2024-04-01,BUSINESS CONNECT,390,0,0
2024-05-01,BUSINESS CONNECT,159,0,0
2024-06-01,BUSINESS CONNECT,206,0,0
2024-07-01,BUSINESS CONNECT,328,0,0
2024-08-01,BUSINESS CONNECT,350,0,0
2024-09-01,BUSINESS CONNECT,226,0,0
2024-10-01,BUSINESS CONNECT,284,0,0
2024-11-01,BUSINESS CONNECT,225,0,0
2024-12-01,BUSINESS CONNECT,226,0,0
2025-01-01,BUSINESS CONNECT,235,0,0
2025-02-01,BUSINESS CONNECT,182,3970,179
2025-03-01,BUSINESS CONNECT,0,4726,213
2025-04-01,BUSINESS CONNECT,0,4203,189
2025-05-01,BUSINESS CONNECT,0,4794,216
2025-06-01,BUSINESS CONNECT,0,5103,230
2025-07-01,BUSINESS CONNECT,0,4513,203
2025-08-01,BUSINESS CONNECT,0,4468,201
2025-09-01,BUSINESS CONNECT,0,4975,224
2025-10-01,BUSINESS CONNECT,0,4764,214
2025-11-01,BUSINESS CONNECT,0,5382,242
2025-12-01,BUSINESS CONNECT,0,12772,575
2022-01-01,BUSINESS INTERNET,0,0,0
2022-02-01,BUSINESS INTERNET,142,0,0
2022-03-01,BUSINESS INTERNET,93,0,0
2022-04-01,BUSINESS INTERNET,110,0,0
2022-05-01,BUSINESS INTERNET,129,0,0
2022-06-01,BUSINESS INTERNET,159,0,0
2022-07-01,BUSINESS INTERNET,105,0,0
2022-08-01,BUSINESS INTERNET,109,0,0
2022-09-01,BUSINESS INTERNET,131,0,0
2022-10-01,BUSINESS INTERNET,113,0,0
2022-11-01,BUSINESS INTERNET,110,0,0
2022-12-01,BUSINESS INTERNET,164,0,0
2023-01-01,BUSINESS INTERNET,120,0,0
2023-02-01,BUSINESS INTERNET,112,0,0
2023-03-01,BUSINESS INTERNET,166,0,0
2023-04-01,BUSINESS INTERNET,161,0,0
2023-05-01,BUSINESS INTERNET,147,0,0
2023-06-01,BUSINESS INTERNET,96,0,0
2023-07-01,BUSINESS INTERNET,151,0,0
2023-08-01,BUSINESS INTERNET,82,0,0
2023-09-01,BUSINESS INTERNET,96,0,0
2023-10-01,BUSINESS INTERNET,119,0,0
2023-11-01,BUSINESS INTERNET,101,0,0
2023-12-01,BUSINESS INTERNET,161,0,0
2024-01-01,BUSINESS INTERNET,109,0,0
2024-02-01,BUSINESS INTERNET,91,0,0
2024-03-01,BUSINESS INTERNET,94,0,0
2024-04-01,BUSINESS INTERNET,74,0,0
2024-05-01,BUSINESS INTERNET,117,0,0
2024-06-01,BUSINESS INTERNET,93,0,0
2024-07-01,BUSINESS INTERNET,70,0,0
2024-08-01,BUSINESS INTERNET,152,0,0
2024-09-01,BUSINESS INTERNET,78,0,0
2024-10-01,BUSINESS INTERNET,98,0,0
2024-11-01,BUSINESS INTERNET,96,0,0
2024-12-01,BUSINESS INTERNET,134,0,0
2025-01-01,BUSINESS INTERNET,115,0,0
2025-02-01,BUSINESS INTERNET,259,102,102
2025-03-01,BUSINESS INTERNET,0,100,100
2025-04-01,BUSINESS INTERNET,0,142,142
2025-05-01,BUSINESS INTERNET,0,131,131
2025-06-01,BUSINESS INTERNET,0,114,114
2025-07-01,BUSINESS INTERNET,0,117,117
2025-08-01,BUSINESS INTERNET,0,107,107
2025-09-01,BUSINESS INTERNET,0,141,141
2025-10-01,BUSINESS INTERNET,0,146,146
2025-11-01,BUSINESS INTERNET,0,143,143
2025-12-01,BUSINESS INTERNET,0,409,409
2022-01-01,CENTREX,0,0,0
2022-02-01,CENTREX,367,0,0
